"filename", "language", "PHP", "CSS", "JSON", "JavaScript", "Vue", "XML", "Markdown", "comment", "blank", "total"
"c:\laragon\www\archivage-app\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 45, 0, 22, 67
"c:\laragon\www\archivage-app\app\Actions\Fortify\CreateNewUser.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 5, 6, 41
"c:\laragon\www\archivage-app\app\Actions\Fortify\PasswordValidationRules.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\laragon\www\archivage-app\app\Actions\Fortify\ResetUserPassword.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 5, 6, 30
"c:\laragon\www\archivage-app\app\Actions\Fortify\UpdateUserPassword.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 5, 6, 33
"c:\laragon\www\archivage-app\app\Actions\Fortify\UpdateUserProfileInformation.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 10, 8, 59
"c:\laragon\www\archivage-app\app\Console\Kernel.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 7, 6, 28
"c:\laragon\www\archivage-app\app\Exceptions\Handler.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 9, 5, 31
"c:\laragon\www\archivage-app\app\Http\Controllers\AddAgents.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\laragon\www\archivage-app\app\Http\Controllers\Agents.php", "PHP", 130, 0, 0, 0, 0, 0, 0, 0, 19, 149
"c:\laragon\www\archivage-app\app\Http\Controllers\Apropos.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\laragon\www\archivage-app\app\Http\Controllers\Archivage.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\laragon\www\archivage-app\app\Http\Controllers\Classeurs.php", "PHP", 121, 0, 0, 0, 0, 0, 0, 20, 17, 158
"c:\laragon\www\archivage-app\app\Http\Controllers\Controller.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\laragon\www\archivage-app\app\Http\Controllers\Dashboard.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\laragon\www\archivage-app\app\Http\Controllers\Documents.php", "PHP", 163, 0, 0, 0, 0, 0, 0, 1, 18, 182
"c:\laragon\www\archivage-app\app\Http\Controllers\ForgotPassword.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
