Date : 2024-09-09 11:19:59
Directory : c:\laragon\www\archivage-app
Total : 136 files,  26029 codes, 1419 comments, 826 blanks, all 28274 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     10,006 |          0 |          4 |     10,010 |
| XML        |          4 |      9,056 |         14 |          4 |      9,074 |
| Vue        |         39 |      4,792 |        101 |        111 |      5,004 |
| PHP        |         77 |      2,029 |      1,248 |        650 |      3,927 |
| JavaScript |          6 |         95 |         42 |         32 |        169 |
| Markdown   |          1 |         45 |          0 |         22 |         67 |
| CSS        |          5 |          6 |         14 |          3 |         23 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |        136 |     26,029 |      1,419 |        826 |     28,274 |
| . (Files)                                                                                |          7 |     10,100 |         11 |         31 |     10,142 |
| app                                                                                      |         50 |      1,283 |        268 |        307 |      1,858 |
| app\Actions                                                                              |          5 |        122 |         30 |         30 |        182 |
| app\Actions\Fortify                                                                      |          5 |        122 |         30 |         30 |        182 |
| app\Console                                                                              |          1 |         15 |          7 |          6 |         28 |
| app\Exceptions                                                                           |          1 |         17 |          9 |          5 |         31 |
| app\Http                                                                                 |         32 |        934 |        156 |        198 |      1,288 |
| app\Http (Files)                                                                         |          1 |         42 |         21 |          7 |         70 |
| app\Http\Controllers                                                                     |         15 |        673 |         25 |        117 |        815 |
| app\Http\Middleware                                                                      |         10 |        113 |         62 |         44 |        219 |
| app\Http\Requests                                                                        |          6 |        106 |         48 |         30 |        184 |
| app\Models                                                                               |          5 |         67 |         16 |         28 |        111 |
| app\Providers                                                                            |          6 |        128 |         50 |         40 |        218 |
| bootstrap                                                                                |          1 |         18 |         35 |         11 |         64 |
| config                                                                                   |         16 |        577 |        861 |        278 |      1,716 |
| public                                                                                   |          9 |      9,100 |         64 |         36 |      9,200 |
| public (Files)                                                                           |          2 |         16 |         34 |         13 |         63 |
| public\assets                                                                            |          7 |      9,084 |         30 |         23 |      9,137 |
